file_path,avg_function_complexity,duplication_ratio,file_change_frequency,maintainability_index,ownership_concentration
app\main.py,1.0,0.0,0.0,100.0,0.0
ci\generate_insights.py,9.0,0.0,0.0,68.45139266345441,0.0
ai\pipelines\suggestion_pipeline.py,5.3,0.0,0.0,44.912362764723085,0.0
ai\training\build_suggestions_dataset.py,2.857142857142857,0.0,0.0,48.78437935845708,0.0
ai\training\suggestion_model.py,3.0,0.0,0.0,57.50309399312702,0.0
ai\training\train_hotspot_model.py,3.5,0.0,0.0,51.005533831332095,0.0
app\api\change_storytelling.py,1.6666666666666667,0.0,0.0,100.0,0.0
app\api\code_evolution.py,2.0,0.0,0.0,100.0,0.0
app\api\code_map.py,2.0,0.0,0.0,100.0,0.0
app\api\insights.py,1.75,0.0,0.0,100.0,0.0
app\api\refactor_guide.py,2.0,0.0,0.0,100.0,0.0
app\api\suggestions.py,3.5,0.0,0.0,100.0,0.0
app\models\evolution.py,1.0,0.0,0.0,100.0,0.0
app\models\insights.py,1.0,0.0,0.0,100.0,0.0
app\models\suggestions.py,1.0,0.0,0.0,100.0,0.0
app\services\code_map_service.py,2.4347826086956523,0.0,0.0,43.8249220798734,0.0
app\services\embedding.py,3.0,0.0,0.0,64.41943403713567,0.0
app\services\git_analysis.py,5.291666666666667,0.0,0.0,22.59130568380857,0.0
app\services\insights_service.py,4.104166666666667,0.0,0.0,10.71940579810757,0.0
app\services\refactor_service.py,3.230769230769231,0.0,0.0,50.98097608680922,0.0
app\services\storytelling_service.py,4.6,0.0,0.0,51.88048039286264,0.0
app\services\suggestions_service.py,2.2,0.0,0.0,70.41864243575034,0.0
